file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00846_0423_2960884_to_2967989,དངོས་གནས་རེད་མི་འདུག་ན། རེད་བ། ཨེ་ནས། གཞི་ནས་ཁོ་གདོན་འདྲེ་ལབ་ཆོག་བ་རེད་བ། ད་ལྟ་ཁྲིམས་ཐག་གཅད་རྒྱུ་རེད་བ།  ,dngos gnas red mi 'dug na/_red ba/_e nas/_gzhi nas kho gdon 'dre lab chog ba red ba/_da lta khrims thag gcad rgyu red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00846_0423_2960884_to_2967989.wav,STT_TT,2,105,7.105,wav16k/STT_TT00846_0423_2960884_to_2967989.wav,དངོས་གནས་རེད་མི་འདུག་ན་རེད་བ། ཨེ་ནས་གཞི་ནས་ཁོ་གདོན་འདྲེས་ལབ་ཆོག་རེད་བ།།། ད་ལྟ་ཁྲིམས་ཐག་གཅད་རྒྱུ་རེད།།
STT_AB00729_0001_5537_to_8711,ཉེར་གཅིག་པ། མེ་ཏོག་པདྨའི་རྫིང་བུ་ཞིག ,nyer gcig pa/_me tog pad+ma'i rdzing bu zhig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00729_0001_5537_to_8711.wav,STT_AB,2,37,3.174,wav16k/STT_AB00729_0001_5537_to_8711.wav,ཉེར་གཅིག་པ། མེ་ཏོག་པདྨེ་རྫང་བུ་ཞིག
STT_AB00572_0107_374479_to_376680,ཇི་ལྟར་རྒྱ་མཚོ་རོ་དང་ལྷན་ཅིག་དང་།  ,ji ltar rgya mtsho ro dang lhan cig dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00572_0107_374479_to_376680.wav,STT_AB,2,35,2.201,wav16k/STT_AB00572_0107_374479_to_376680.wav,ཇི་ལྟར་རྒྱ་མཚོ་རོ་དང་ལྷན་ཅིག་དང་།
STT_TT00845_0182_1259461_to_1261637,ཐར་པའི་བདེ་བ་དེ་ཡག་པོ་ཡིན་པ་ཤེས་ཀི་ཡོད་རེད། ཡིན་ནས།  ,thar pa'i bde ba de yag po yin pa shes ki yod red/_yin nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00845_0182_1259461_to_1261637.wav,STT_TT,2,53,2.176,wav16k/STT_TT00845_0182_1259461_to_1261637.wav,ཐར་པའི་བདེ་བ་དེ་ཡག་པོ་ཡིན་པ་ཤེས་ཀི་ཡོད་རེད། ཡིན་ནས།
STT_TT00845_0183_1264965_to_1267493,མཐར་ཐུག་སྐད་ཆ་མ་ཡིན་པ་འཕྲལ་དུ་ཁོ་རང་བྱུང་བཞག་པའི་བདེ་སྐྱིད་དེས་གིས།  ,mthar thug skad cha ma yin pa 'phral du kho rang byung bzhag pa'i bde skyid des gis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00845_0183_1264965_to_1267493.wav,STT_TT,2,69,2.528,wav16k/STT_TT00845_0183_1264965_to_1267493.wav,མཐར་ཐུག་སྐད་ཆ་མ་ཡིན་པ་བཅི འཕྲལ་དུ་ཁོ་རང་བྱུང་བཞག་པའི་བདེ་སྐྱིད་དེ་གིས།
STT_TT00845_0184_1267845_to_1270053,ཐར་པའི་བདེ་བ་དེ་ཟིལ་གྱིས་གནོན་བྱས། ཨེ་ནས། ཞི་མཐའ་ལ་ཕར་ ,thar pa'i bde ba de zil gyis gnon byas/_e nas/_zhi mtha' la phar _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00845_0184_1267845_to_1270053.wav,STT_TT,2,55,2.208,wav16k/STT_TT00845_0184_1267845_to_1270053.wav,ཐར་པའི་བདེ་བ་དེ་ཟིལ་གྱིས་གནོན་བྱས། ཨེ་ནས་ཞི་མཐའ་ལ་ཡ།
STT_TT00845_0185_1277181_to_1283712,གཙོ་བོ་སྐད་ཆ་བཤད་ནས། སྲིད་མཐའ་བཀག་ཡ་དེ། ཨེ་ནས། སྟོང་ཉིད་རྟོགས་པའི་ཤེས་རབ་ཀིས་བཀག་ཡ། ཨེ་ནས། ཞི་མཐའ་བཀག་ཡ་དེ་སྙིང་རྗེས་གིས་བཀག་ཡ།  ,gtso bo skad cha bshad nas/_srid mtha' bkag ya de/_e nas/_stong nyid rtogs pa'i shes rab kis bkag ya/_e nas/_zhi mtha' bkag ya de snying rjes gis bkag ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00845_0185_1277181_to_1283712.wav,STT_TT,2,129,6.531,wav16k/STT_TT00845_0185_1277181_to_1283712.wav,གཙོ་བོ་སྐད་ཆ་བཤད་ནས། སྲིད་མཐའ་བཀག་ཡ་དེ། ཨེ་ནས། སྟོང་ཉིད་རྟོགས་པའི་ཤེས་རབ་ཀིས་བཀག་ཡ། ཨེ་ནས་ཞི་མཐའ་བཀག་ཡ་དེ་སྙིང་རྗེ་གི་བཀག་ཡ།
STT_AB00497_0197_902994_to_904991,ཁྱེད་ཀྱིས་བཤད་པའི་སྐད་ཆ་དེ་དག་གིས་ ,khyed kyis bshad pa'i skad cha de dag gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00497_0197_902994_to_904991.wav,STT_AB,2,35,1.997,wav16k/STT_AB00497_0197_902994_to_904991.wav,ཁྱེད་ཀྱིས་བཤད་པའི་སྐད་ཆ་དེ་དག་གིས་
STT_TT00845_0203_1381873_to_1384241,ཉོན་མོངས་ཐམས་ཅད་ཟད་ཡ་ཅིག་ཡོང་ཆོག་ས་རེད་སེམས་པའི་ད།  ,nyon mongs thams cad zad ya cig yong chog sa red sems pa'i da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00845_0203_1381873_to_1384241.wav,STT_TT,2,52,2.368,wav16k/STT_TT00845_0203_1381873_to_1384241.wav,ཉོན་མོངས་ཐམས་ཅད་ཟེར་ཡ་ཅིག་ཡོང་ཆོག་ས་རེད་བསམ་པའི་ད།
STT_TT00845_0202_1378161_to_1380305,དེ་འདྲའི་ཆགས་ཡོང་དུས་ཙ་ནས། དེའི་གི་ཉམས་མྱོང་གི་ ,de 'dra'i chags yong dus tsa nas/_de'i gi nyams myong gi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00845_0202_1378161_to_1380305.wav,STT_TT,2,48,2.144,wav16k/STT_TT00845_0202_1378161_to_1380305.wav,དེ་འདྲའི་ཆགས་ཡོང་དུས་ཙ་ནས། དེ་གི་ཉམས་མྱོང་གི་
STT_TT00845_0204_1389231_to_1391239,དེའི་གི དེའི་གི་ཐོག་ནས། ཨེ་ནས། དེ་བྱས་པ་ཡིན་ན།  ,de'i gi_de'i gi thog nas/_e nas/_de byas pa yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00845_0204_1389231_to_1391239.wav,STT_TT,2,48,2.008,wav16k/STT_TT00845_0204_1389231_to_1391239.wav,དེ། དེ་གི་ཐོག་ནས། ཨེ་ནས་དེ་བྱས་པ་ཡིན་ན།
STT_TT00791_0080_566459_to_576356,དེ་ནས་ཡང་། ཨ། ཚད་མ་རིགས་རྒྱན་གི་ནང་ལོགས་ལ། ཨེ། རི་བོང་ཅན་ཆོས་ཅན། ཟླ་བ་ཞེས་པའི་སྒྲས་བརྗོད་རུང་ཡིན་ཏེ། རྟོག་ཡུལ་ན་ཡོད་པའི་ཕྱིར་ཞེས་པའི་རྟགས་དེའི་ཕྱོགས་ཆོས་རང་རིག་མངོན་སུམ་གིས་གྲུབ་པ་རེད་གསུངས་ཡོད་རེད།  ,de nas yang /_a/_tshad ma rigs rgyan gi nang logs la/_e/_ri bong can chos can/_zla ba zhes pa'i sgras brjod rung yin te/_rtog yul na yod pa'i phyir zhes pa'i rtags de'i phyogs chos rang rig mngon sum gis grub pa red gsungs yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00791_0080_566459_to_576356.wav,STT_TT,2,200,9.897,wav16k/STT_TT00791_0080_566459_to_576356.wav,དེ་ནས་ཡང་། ཨ། ཚད་མ་རིགས་རྒྱན་གི་ནང་ལོགས་ལ། ཨ། རི་བོང་ཅན་ཆོས་ཅན། ཟླ་བ་བྱེས་པའི་སྒྲས་བརྗོད་རུང་ཡིན་ཏེ། རྟོག་ཡུལ་ན་ཡོད་པའི་ཕྱིར་ཞེས་པའི་རྟགས་དེའི་ཕྱོགས་ཆོས་རང་རིགས་མངོན་སུམ་གིས་གྲུབ་པ་རེད་གསུངས་ཡོད་།
STT_TT00846_0402_2822712_to_2825944,ཡང་ཁོང་ཁྲོ་དེ་རེ་རེ་ནས་སྐད་ཅིག་མར་ཕྱེ་འགྲོ་ན། རེ་རེ་ནས་སྡུག་ཅག་མ་རེད།  ,yang khong khro de re re nas skad cig mar phye 'gro na/_re re nas sdug cag ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00846_0402_2822712_to_2825944.wav,STT_TT,2,71,3.232,wav16k/STT_TT00846_0402_2822712_to_2825944.wav,ཡང་ཁོང་ཁྲོ་དེ་རེ་རེ་ནས་སྐད་ཅིག་མར་ཆད་འགྲོ་ན། རེ་རེ་ནས་སྡུག་ཅག་མ་རེད།
STT_TT00845_0222_1499974_to_1503206,གཞན་དོན་དུ་འཁོར་བར་གནས་ཐུབ་ཡ་དེ། སྟོང་ཉིད་རྟོགས་པའི་ཤེས་རབ་ཀི་འབྲས་བུ་ཡིན་ཟེར་ཡ་ཚིག་ཅིག ,gzhan don du 'khor bar gnas thub ya de/_stong nyid rtogs pa'i shes rab ki 'bras bu yin zer ya tshig cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00845_0222_1499974_to_1503206.wav,STT_TT,2,88,3.232,wav16k/STT_TT00845_0222_1499974_to_1503206.wav,གཞན་དོན་དུ་འཁོར་བར་གནས་ཐུབ་ཡ་དེ། སྟོང་ཉིད་རྟོགས་པའི་ཤེས་རབ་ཀི་འབྲས་བུ་ཡིན་ཟེར་ཡ་ཚིག་གཅིག
